# blastp
# Iteration: 0
# Query: 
# RID: 8Y2DFJBR013
# Database: refseq_select_prot
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 5000 hits found
Query_43709	WP_011180764.1	100.000	216	0	0	1	216	182	397	4.72e-154	441	100.00
Query_43709	WP_019221755.1	93.056	216	15	0	1	216	180	395	6.06e-144	415	97.22
Query_43709	WP_034459356.1	93.519	216	14	0	1	216	182	397	1.39e-143	414	97.22
Query_43709	WP_161510465.1	90.278	216	21	0	1	216	182	397	1.06e-139	404	96.76
Query_43709	WP_038473585.1	89.352	216	23	0	1	216	182	397	2.10e-137	399	96.30
Query_43709	WP_183193941.1	88.889	216	24	0	1	216	182	397	3.55e-137	398	96.30
Query_43709	WP_015856372.1	87.500	216	27	0	1	216	182	397	7.01e-136	395	96.30
Query_43709	WP_175868822.1	88.426	216	25	0	1	216	182	397	7.09e-136	395	95.37
Query_43709	WP_241437103.1	87.963	216	26	0	1	216	179	394	2.11e-135	394	95.37
Query_43709	WP_142416739.1	88.426	216	25	0	1	216	182	397	2.36e-135	394	94.44
Query_43709	WP_005773574.1	87.963	216	26	0	1	216	182	397	7.35e-135	392	95.37
Query_43709	WP_078691965.1	86.111	216	30	0	1	216	182	397	7.43e-135	392	95.83
Query_43709	WP_120101494.1	87.963	216	26	0	1	216	182	397	9.66e-135	392	95.37
Query_43709	WP_254769612.1	87.500	216	27	0	1	216	179	394	1.06e-134	392	95.37
Query_43709	WP_139413199.1	87.963	216	26	0	1	216	182	397	2.26e-134	391	95.37
Query_43709	WP_004854353.1	86.574	216	29	0	1	216	182	397	8.97e-134	389	95.83
Query_43709	WP_208435845.1	86.111	216	30	0	1	216	182	397	2.56e-133	388	95.83
Query_43709	WP_183228250.1	86.111	216	30	0	1	216	187	402	3.03e-133	388	93.06
Query_43709	WP_126603383.1	86.574	216	29	0	1	216	182	397	4.05e-133	388	94.91
Query_43709	WP_026088006.1	86.574	216	29	0	1	216	182	397	5.57e-133	387	94.44
Query_43709	WP_220717085.1	85.185	216	32	0	1	216	182	397	8.55e-132	384	94.91
Query_43709	WP_120122299.1	85.648	216	31	0	1	216	182	397	9.54e-132	384	94.44
Query_43709	WP_144754137.1	85.648	216	31	0	1	216	182	397	1.82e-131	384	94.44
