taxid,family,genus_species,helix_5_occupancy_75_max,amr_fullname,amr_phylum,amr_family,amr_pathogenicity,amr_gram_status
>2592383,Pleioneaceae,Aliikangiella coralliicola,62,Aliikangiella coralliicola,Pseudomonadota,Kangiellaceae,Non-pathogenic,Gram-negative
>1125411,Fam_of_Candidatus/1-216 Pseudothioglobus,Candidatus Pseudothioglobus singularis,62,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>1078483,Pasteurellaceae,Haemophilus sputorum,64,Haemophilus sputorum,Pseudomonadota,Pasteurellaceae,Pathogenic,Gram-negative
>758,Pasteurellaceae,Rodentibacter pneumotropicus,64,Rodentibacter pneumotropicus,Pseudomonadota,Pasteurellaceae,Pathogenic,Gram-negative
>1908258,Pasteurellaceae,Rodentibacter heidelbergensis,64,Rodentibacter heidelbergensis,Pseudomonadota,Pasteurellaceae,Potentially pathogenic,Gram-negative
>1908260,Pasteurellaceae,Rodentibacter rarus,64,Rodentibacter rarus,Pseudomonadota,Pasteurellaceae,Potentially pathogenic,Gram-negative
>714,Pasteurellaceae,Aggregatibacter actinomycetemcomitans,64,Aggregatibacter actinomycetemcomitans,Pseudomonadota,Pasteurellaceae,Pathogenic,Gram-negative
>1839807,Cardiobacteriaceae,Rappaport israeli,61,Rappaport israeli,Pseudomonadota,Cardiobacteriaceae,Non-pathogenic,Gram-negative
>732,Pasteurellaceae,Aggregatibacter aphrophilus,64,Aggregatibacter aphrophilus,Pseudomonadota,Pasteurellaceae,Pathogenic,Gram-negative
>249188,Pasteurellaceae,Haemophilus pittmaniae,64,Haemophilus pittmaniae,Pseudomonadota,Pasteurellaceae,Pathogenic,Gram-negative
>189834,Pasteurellaceae,Actinobacillus porcitonsillarum,64,Aggregatibacter actinomycetemcomitans,Pseudomonadota,Pasteurellaceae,Pathogenic,Gram-negative
>739,Pasteurellaceae,Aggregatibacter segnis,64,Aggregatibacter segnis,Pseudomonadota,Pasteurellaceae,Pathogenic,Gram-negative
>714,Pasteurellaceae,Aggregatibacter actinomycetemcomitans,64,Aggregatibacter actinomycetemcomitans,Pseudomonadota,Pasteurellaceae,Pathogenic,Gram-negative
>1908263,Pasteurellaceae,Rodentibacter trehalosifermentans,64,Rodentibacter trehalosifermentans,Pseudomonadota,Pasteurellaceae,Potentially pathogenic,Gram-negative
>1906745,Pasteurellaceae,Rodentibacter ratti,64,Rodentibacter ratti,Pseudomonadota,Pasteurellaceae,Potentially pathogenic,Gram-negative
>2573093,Pasteurellaceae,Actinobacillus vicugnae,64,Actinobacillus vicugnae,Pseudomonadota,Pasteurellaceae,Potentially pathogenic,Gram-negative
>364032,Piscirickettsiaceae,Sulfurivirga caldicuralii,58,Sulfurivirga caldicuralii,Pseudomonadota,Piscirickettsiaceae,Non-pathogenic,Gram-negative
>2778911,Pasteurellaceae,Rodentibacter haemolyticus,64,Rodentibacter haemolyticus,Pseudomonadota,Pasteurellaceae,Potentially pathogenic,Gram-negative
>2770636,Pasteurellaceae,Mannheimia bovis,64,Mannheimia bovis,Pseudomonadota,Pasteurellaceae,Potentially pathogenic,Gram-negative
>727,Pasteurellaceae,Haemophilus influenzae,64,Haemophilus influenzae,Pseudomonadota,Pasteurellaceae,Pathogenic,Gram-negative
>41202,Yersiniaceae,Ewingella americana,61,Ewingella americana,Pseudomonadota,Yersiniaceae,Pathogenic,Gram-negative
>1510574,Yersiniaceae,Rahnella woolbedingensis,61,Rahnella woolbedingensis,Pseudomonadota,Yersiniaceae,Potentially pathogenic,Gram-negative
>34038,Yersiniaceae,Rahnella aquatilis,61,Rahnella aquatilis,Pseudomonadota,Yersiniaceae,Pathogenic,Gram-negative
>870,Cardiobacteriaceae,Dichelobacter nodosus,61,Dichelobacter nodosus,Pseudomonadota,Cardiobacteriaceae,Pathogenic,Gram-negative
>151081,Pseudoalteromonadaceae,Pseudoalteromonas ruthenica,65,Pseudoalteromonas ruthenica,Pseudomonadota,Pseudoalteromonadaceae,Non-pathogenic,Gram-negative
>1128911,Alteromonadaceae,Paraglaciecola arctica,65,Paraglaciecola arctica,Pseudomonadota,Alteromonadaceae,Non-pathogenic,Gram-negative
>2905728,Corticoviridae,Corticovirus PM2,65,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>1416627,Aeromonadaceae,Oceanisphaera profunda,65,Oceanisphaera profunda,Pseudomonadota,Aeromonadaceae,Non-pathogenic,Gram-negative
>1510455,Alteromonadaceae,Agarivorans litoreus,65,Agarivorans litoreus,Pseudomonadota,Alteromonadaceae,Non-pathogenic,Gram-negative
>182262,Alteromonadaceae,Agarivorans albus,65,Agarivorans albus,Pseudomonadota,Alteromonadaceae,Non-pathogenic,Gram-negative
>2116700,Aeromonadaceae,Zobellella endophytica,65,Zobellella endophytica,Pseudomonadota,Aeromonadaceae,Non-pathogenic,Gram-negative
>2905728,Corticoviridae,Corticovirus PM2,65,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>1774956,Pseudoalteromonadaceae,Pseudoalteromonas profundi,65,Pseudoalteromonas profundi,Pseudomonadota,Pseudoalteromonadaceae,Non-pathogenic,Gram-negative
>2774154,Pseudoalteromonadaceae,Pseudoalteromonas ostreae,65,Pseudoalteromonas ostreae,Pseudomonadota,Pseudoalteromonadaceae,Non-pathogenic,Gram-negative
>2905728,Corticoviridae,Corticovirus PM2,65,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>1563703,Alteromonadaceae,Agarivorans aestuarii,65,Agarivorans aestuarii,Pseudomonadota,Alteromonadaceae,Non-pathogenic,Gram-negative
>2017550,Aeromonadaceae,Oceanisphaera marina,65,Oceanisphaera marina,Pseudomonadota,Aeromonadaceae,Non-pathogenic,Gram-negative
>2818389,Aeromonadaceae,Oceanisphaera pacifica,65,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>680279,Alteromonadaceae,Agarivorans gilvus,65,Agarivorans gilvus,Pseudomonadota,Alteromonadaceae,Non-pathogenic,Gram-negative
>368811,Chromatiaceae,Arsukibacterium perlucidum,65,Arsukibacterium perlucidum,Pseudomonadota,,Non-pathogenic,Gram-negative
>2905728,Corticoviridae,Corticovirus PM2,65,(unknown name),(unknown phylum),(unknown family),Unknown,NA
>2518973,Pseudoalteromonadaceae,Pseudoalteromonas rhizosphaerae,65,Pseudoalteromonas rhizosphaerae,Pseudomonadota,Pseudoalteromonadaceae,Non-pathogenic,Gram-negative
