,taxid,family,genus_species,helix_5_occupancy_30_max
1110,337701,Roseobacteraceae,Roseovarius/1-206 pacificus,2.0
1161,481181,Roseobacteraceae,Seohaeicola/1-210 saemankumensis,2.0
1176,2562655,Roseobacteraceae,Sulfitobacter/1-203 sabulilitoris,2.0
1214,1280831,Roseobacteraceae,Falsiruegeria/1-210 litorea,2.0
1265,1492905,Roseobacteraceae,Phaeobacter/1-211 marinintestinus,2.0
1309,996115,Roseobacteraceae,Ruegeria/1-210 intermedia,2.0
1310,2741719,Roseobacteraceae,Sulfitobacter/1-202 maritimus,2.0
1313,2599291,Paracoccaceae,Chachezhania/1-210 sediminis,2.0
1341,2174228,Paracoccaceae,Albibacillus/1-210 kandeliae,2.0
1507,1280832,Roseobacteraceae,Falsiruegeria/1-210 mediterranea,2.0
1547,337702,Paracoccaceae,Pseudodonghicola/1-211 xiamenensis,2.0
1572,2202251,Sphingomonadaceae,Novosphingobium/1-190 meiothermophilum,2.0
1603,2546227,Paracoccaceae,Antarcticimicrobium/1-210 sediminis,2.0
1758,2692619,Sphingomonadaceae,Novosphingobium/1-199 silvae,2.0
2297,375761,Paracoccaceae,Pseudooceanicola/1-193 nanhaiensis,7.0
2643,762213,Roseobacteraceae,Pacificibacter/1-202 maritimus,2.0
3758,1176646,Sphingomonadaceae,Sphingomonas/1-182 daechungensis,5.0
4617,1977912,Hyphomonadaceae,Henriciella/1-188 pelagia,13.0
4847,404875,Paracoccaceae,Pararhodobacter/1-192 aggregans,7.0
7918,1562974,Comamonadaceae,Comamonas/1-180 piscis,4.0
8976,1496,Peptostreptococcaceae,Clostridioides/1-175 difficile,4.0
8977,29359,Peptostreptococcaceae,Asaccharospora/1-175 irregularis,2.0
8978,1540,Peptostreptococcaceae,Clostridioides/1-176 mangenotii,4.0
8979,2020948,Peptostreptococcaceae,Romboutsia/1-175 maritimum,1.0
8980,2020949,Peptostreptococcaceae,Romboutsia/1-177 weinsteinii,1.0
