 PDBe Fold v2.59. (src3) 14 Apr 2014 result file.

                   RESULT SUMMARY

   ##      Q-score      P-score     Z-score   RMSD    Nalgn Nsse Ngaps Seq-%     Nmd Nres-Q Nsse-Q Nres-T Nsse-T Query Target
    1           1       62.59       23.81     0.000   218   15    0           1    0    218     15    218     15    PDB 7agm:A  PDB 7agm:A
    2      0.9787       41.87       19.42     0.334   216   15    0           1    0    218     15    216     15    PDB 7agm:A  PDB 7agm:B
    3      0.9634       37.04       18.24     0.412   214   15    0      0.8037    0    218     15    214     15    PDB 7agm:A  PDB 4m6g:A
    4      0.9494       37.46       18.35     0.512   213   15    0      0.7981    0    218     15    213     15    PDB 7agm:A  PDB 4lq6:A
    5      0.8232       28.81       16.13     0.527   185   12    2      0.7784    0    218     15    185     12    PDB 7agm:A  PDB 4m6i:A
    6      0.8097        28.6       16.07     0.619   187   12    2      0.7807    0    218     15    190     12    PDB 7agm:A  PDB 4m6h:A
    7      0.7735       25.45       15.15     0.536   174   12    2      0.7644    0    218     15    174     12    PDB 7agm:A  PDB 4m6i:B
    8      0.7226       24.03       14.72     0.506   162   12    2      0.7716    0    218     15    162     12    PDB 7agm:A  PDB 4m6h:B
    9      0.6489       17.06       12.38     1.215   175   12    6      0.2343    0    218     15    186     12    PDB 7agm:A  PDB 4rn7:A
   10      0.6271       15.74        12.4     1.150   168   12    7      0.3036    0    218     15    180     13    PDB 7agm:A  PDB 5emi:A
   11      0.6121          15       11.61     1.375   170   12    6      0.2529    0    218     15    179     12    PDB 7agm:A  PDB 1jwq:A
   12      0.5344        13.2       10.67     1.483   181   10    9      0.2707    0    218     15    226     13    PDB 7agm:A  PDB 3ne8:A
   13      0.4836       10.46       9.723     1.772   160   10    9      0.1875    0    218     15    180     11    PDB 7agm:A  PDB 3qay:C
   14      0.4807       10.51       9.741     1.793   160   10    9      0.1875    0    218     15    180     11    PDB 7agm:A  PDB 3qay:A
   15      0.4798       10.42       9.705     1.799   160   10    9      0.1875    0    218     15    180     11    PDB 7agm:A  PDB 3qay:D
   16      0.4787       10.42       9.705     1.764   159   10    9      0.1887    0    218     15    180     11    PDB 7agm:A  PDB 3qay:B
   17      0.4645       8.126       8.629     2.033   164    9   10       0.189    0    218     15    182     11    PDB 7agm:A  PDB 3czx:B
   18       0.455       8.126       8.629     2.138   165    9   10      0.1879    0    218     15    182     11    PDB 7agm:A  PDB 3czx:C
   19      0.4484       6.605       7.854     2.068   162    8   12      0.1914    0    218     15    182     11    PDB 7agm:A  PDB 3czx:A
   20      0.4443       7.613       8.372     2.013   159    9   12       0.195    0    218     15    180     11    PDB 7agm:A  PDB 3czx:D
   21      0.2418        1.74       5.249     2.607   113    9    8     0.09735    0    218     15    138     10    PDB 7agm:A  PDB 3pu6:A
   22      0.2392       2.043       5.391     2.579   137    8   12      0.1533    0    218     15    207     15    PDB 7agm:A  PDB 3a9l:B
   23      0.2338       2.548       5.706     2.468   133    8   11      0.1579    0    218     15    207     15    PDB 7agm:A  PDB 3a9l:A
   24      0.2288       1.265       5.253     2.639   135    8   12      0.1037    0    218     15    206     15    PDB 7agm:A  PDB 1iu8:A
   25      0.2276       1.163       5.193     2.655   135    8   12      0.1037    0    218     15    206     15    PDB 7agm:A  PDB 1iu8:B
   26      0.2236       1.699        5.49     2.723   136    8   11       0.125    0    218     15    208     15    PDB 7agm:A  PDB 2eo8:A
   27      0.2233       1.511        5.49     2.684   135    8   11      0.1259    0    218     15    208     14    PDB 7agm:A  PDB 1z8x:D
   28      0.2232       1.999        5.49     2.684   135    8   11      0.1259    0    218     15    208     14    PDB 7agm:A  PDB 1z8x:B
   29      0.2231       1.999        5.49     2.685   135    8   11      0.1259    0    218     15    208     14    PDB 7agm:A  PDB 1z8x:C
   30      0.2231        1.99        5.49     2.686   135    8   11      0.1259    0    218     15    208     14    PDB 7agm:A  PDB 1z8x:A
   31      0.2231       1.932       5.431     2.641   134    8   11      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 2eo8:B
   32      0.2224       1.965       5.471     2.651   134    8   11      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1x10:D
   33      0.2224       1.965       5.471     2.651   134    8   11      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1x10:B
   34      0.2224       1.196       5.471     2.651   134    8   10      0.1269    0    218     15    208     15    PDB 7agm:A  PDB 2eo8:C
   35      0.2223       1.965       5.471     2.652   134    8   11      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1x10:C
   36      0.2222       2.176       5.549     2.654   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1x12:D
   37      0.2221       2.177       5.549     2.654   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1x12:C
   38      0.2221       2.176       5.549     2.654   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1x12:B
   39      0.2221       2.176       5.549     2.655   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1x12:A
   40       0.222        1.47       5.451     2.656   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1z8w:D
   41       0.222        1.47       5.451     2.656   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1z8w:C
   42       0.222        1.47       5.451     2.656   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1z8w:B
   43      0.2219        1.47       5.451     2.657   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1z8w:A
   44      0.2218       1.511        5.49     2.703   135    8   10      0.1259    0    218     15    208     14    PDB 7agm:A  PDB 1z8t:C
   45      0.2218       1.511        5.49     2.703   135    8   10      0.1259    0    218     15    208     14    PDB 7agm:A  PDB 1z8t:D
   46      0.2218       1.511        5.49     2.703   135    8   10      0.1259    0    218     15    208     14    PDB 7agm:A  PDB 1z8t:B
   47      0.2218       1.499       5.471     2.704   135    8   10      0.1259    0    218     15    208     14    PDB 7agm:A  PDB 1z8t:A
   48      0.2215       1.473       5.451     2.662   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 2eo8:D
   49      0.2215       1.961       5.451     2.663   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1x10:A
   50      0.2213       1.321       5.352     2.665   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1ioi:B
   51      0.2213       1.321       5.352     2.666   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1ioi:C
   52      0.2212       1.311       5.352     2.667   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1ioi:D
   53      0.2211        1.21       5.273     2.669   134    9   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1iof:C
   54      0.2211       1.311       5.352     2.669   134    8   10      0.1269    0    218     15    208     14    PDB 7agm:A  PDB 1ioi:A
   55       0.221       1.053       5.174     2.715   135    9   10      0.1259    0    218     15    208     14    PDB 7agm:A  PDB 1iof:B
   56       0.221       1.235       5.293     2.715   135    9   10      0.1259    0    218     15    208     14    PDB 7agm:A  PDB 1iof:D
   57      0.2209       1.226       5.293     2.715   135    9   10      0.1259    0    218     15    208     14    PDB 7agm:A  PDB 1iof:A
   58      0.2193       1.458       5.411     2.711   136    8   11       0.125    0    218     15    213     14    PDB 7agm:A  PDB 2df5:A
   59      0.2185       1.318       5.431     2.722   136    8   11       0.125    0    218     15    213     14    PDB 7agm:A  PDB 2df5:B
   60      0.2172       1.381       5.352     2.695   135    8   10      0.1259    0    218     15    213     14    PDB 7agm:A  PDB 2df5:C
